file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
a198a3ba-d600-472e-aae0-67860b3b6935	unknown	1	unknown	1	-1	0	unknown	-1	-1	-1	unknown	0	-1	-1	-1	1	-1	-1	-1	-1	0	-1	unknown	-1	0	-1	-1	-1	-1	-1	unknown	unknown	-1	0	unknown	-1	0	1	unknown
f2f7c7c0-43e8-45fb-8ea8-bdb5e6ac7da7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0
d90c9eef-4660-4312-96d0-0f8321b678a7	-1	unknown	-1	unknown	0	0	unknown	unknown	0	-1	0	0	-1	-1	-1	1	0	-1	0	0	unknown	-1	unknown	-1	0	unknown	-1	1	-1	-1	unknown	0	0	unknown	unknown	0	unknown	-1	-1
5d5528ff-32ac-40d8-8640-15ff04feb41a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2102e6ec-dc7e-4933-9fa5-d5ea00a1a790	-1	1	0	0	0	unknown	-1	-1	0	0	0	0	0	unknown	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
a3b3cf77-5f44-4612-b6a4-43a95c49055f	unknown	unknown	unknown	0	unknown	0	0	unknown	0	0	-1	0	0	0	-1	unknown	-1	0	0	unknown	unknown	unknown	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	unknown	0	0	unknown	-1
03bd0630-d0a3-4f6f-b7b7-a4068f6073f7	-1	1	unknown	-1	unknown	unknown	0	0	1	1	unknown	1	0	0	1	1	0	unknown	1	1	unknown	unknown	1	1	unknown	1	0	1	-1	-1	1	1	1	1	1	1	unknown	1	-1
a2f35df5-5ee6-4c8e-ba61-d187651ae9df	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
c261b894-7237-4d89-b361-b75087f8cc99	0	unknown	0	0	unknown	0	0	0	0	0	0	-1	0	0	-1	0	0	unknown	0	0	0	unknown	unknown	0	0	unknown	0	0	0	-1	0	0	0	0	0	0	unknown	0	-1
5f03d92d-a7ca-40b5-882c-3a076de59eaf	unknown	unknown	unknown	unknown	unknown	unknown	0	unknown	1	-1	unknown	0	unknown	0	-1	unknown	unknown	unknown	unknown	0	unknown	unknown	0	0	unknown	unknown	unknown	0	0	-1	unknown	unknown	0	unknown	0	-1	unknown	0	unknown
