file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
dc5dd9bb-8571-48b7-8535-26eeec64faa9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0	-1	-1	0	0	0	0	unknown	0	0	0	0	0	0	unknown	0	1	unknown	0	0	0	0
7475c0d7-c776-48ae-aba6-b4c38692bf75	0	0	0	0	0	0	unknown	0	0	0	0	-1	1	1	-1	0	-1	unknown	-1	-1	0	0	unknown	0	0	0	0	-1	-1	0	0	unknown	0	0	0	0	0	0	0
31c1ec3f-8fb6-41b8-9c89-59ca3ab2d36c	0	0	0	0	0	0	0	0	0	unknown	0	0	1	1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	unknown	0	0	1	1	0	0	0	unknown
23768895-9695-4f95-a075-d7a52ac3545f	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unknown	unknown	-1	0	0	-1	0	0	0	0	0	0	0	0	0
bb39b827-c4f4-4d13-88cb-01f258d06843	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
7e26b92e-629a-45c1-9c00-f8f0da99c317	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
c7c72460-42c0-45dc-900f-7c7e36a5344c	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	unknown	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unknown	0	0	0	0
a50ad948-b240-491e-b5c1-bfe82cbb881a	0	0	0	0	0	0	0	0	0	0	0	0	1	unknown	0	0	unknown	0	-1	-1	0	0	1	unknown	unknown	0	0	0	0	0	0	0	0	1	1	0	0	0	0
eb9a1990-3d15-4d78-a118-2ba30df48ac2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
aab06154-3863-4249-8904-a332f5306893	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	unknown	0	-1	-1	0	unknown	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
