file_id	library_strategy	project_id	sample_type	is_ffpe	plate_id	hospital	read_length	source_center	date_of_shipment	experimental_protocol_type	normal_control_proximity_to_tumor	platform	experimental_strategy	tumor_sample_weight	ratio_28s_18s	a260_a280_ratio	percent_gc_content	library_name	instrument_model	design	center_name	volume	quantity	concentration	necrosis_percent	tumor_nuclei_percent
c2862171-e8d7-49eb-a953-cea0cc428ae6	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	0980	Indivumed	50	22	2010-05-05	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	100	1.3	1.8	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	3.74	0.14	20	70
30904423-b142-4957-a5b1-34f88ac9b20e	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	0851	Roswell Park	50	22	2010-03-10	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	250	1.7	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	10	75
e20bf59c-256c-4222-9040-386bc0e57a51	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	2296	International Genomics Consortium	48	22	2012-06-04	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	137	1.39	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	1.86	0.14	0	70
7ef131e9-cb98-4cfb-8606-c3916b733e3b	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	1201	Indivumed	50	22	2010-08-30	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	100	1.5	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2.13	0.16	20	70
1318b34b-4dcc-473d-a60e-087b43e47889	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	1635	Mayo Clinic - Rochester	50	22	2011-03-30	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	200	1.39	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	5	90
fb8977da-1321-4122-9b28-1caba6a705c0	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	A27Q	Prince Charles Hospital	48	23	2013-03-25	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	53	1.47	1.86	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	50	50
24a3cc19-5d67-49bf-affd-d556c2d8beca	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	0980	Indivumed	50	22	2010-05-05	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	100	1.4	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.27	0.16	20	70
b7b4aa43-028b-4574-b4f4-ba52f71c5a4e	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	A262	International Genomics Consortium	48	23	2013-01-30	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	70	1.39	1.74	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.08	0.16	0	61
0a77343f-e58e-4db5-b9e4-7ba084687f9d	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	0980	St. Joseph's Medical Center (MD)	50	22	2010-05-05	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	200	1.1	1.8	50	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	3.74	0.14	5	80
a1625a0a-d5c6-43e4-a15c-08c97032599d	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	A27Q	Ontario Institute for Cancer Research	48	23	2013-03-25	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	900	1.57	1.84	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13	2.34	0.18	9	60
214e3c66-ea6f-441b-aecd-db46dd6dfde4	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	0851	Indivumed	50	22	2010-03-10	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	100	0.8	1.8	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	1.86	0.14	20	70
6a3111c7-dd42-4e85-8c95-fe52587ccd12	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	1443	Johns Hopkins	50	22	2010-11-30	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	NA	1.6	1.8	49	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	26.7	4.01	0.15	20	80
0271b431-0e85-46cc-9a89-eab4639f2d51	RNA-Seq	TCGA-LUSC	Primary Tumor	NO	2403	Asterand	48	22	2012-09-10	Allprep RNA Extraction	unknown	Illumina	RNA-Seq	1414	1.3	NA	51	Illumina TruSeq	Illumina HiSeq 2000	TCGA RNA-Seq Paired-End Experiment	UNC-LCCC	13.3	2	0.15	5	67
