file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
e2c0e1b7-998a-4d1f-9a35-9e1c8c93d99f	0	1	unknown	unknown	unknown	1	unknown	unknown	0	unknown	unknown	-1	unknown	1	-1	unknown	unknown	unknown	unknown	-1	-1	-1	0	0	unknown	-1	unknown	unknown	-1	-1	unknown	-1	0	0	unknown	0	unknown	unknown	unknown
141d614f-a0bb-4ad6-a921-c3be599717ca	unknown	unknown	1	1	unknown	unknown	0	0	1	unknown	unknown	-1	1	1	-1	unknown	1	0	1	0	1	unknown	1	0	unknown	-1	0	unknown	1	-1	unknown	0	0	unknown	1	unknown	unknown	0	-1
c851c4cb-8104-4e30-babf-bb24c19ac8a2	unknown	0	0	0	unknown	0	0	unknown	0	unknown	0	0	unknown	unknown	unknown	unknown	-1	0	0	unknown	unknown	unknown	1	unknown	-1	unknown	0	0	unknown	0	unknown	-1	-1	unknown	0	unknown	0	unknown	-1
4e9dbf95-72bf-4e76-b324-fb071911b6c8	0	0	0	0	-1	unknown	0	0	1	unknown	0	0	0	0	-1	1	0	unknown	0	0	unknown	unknown	0	0	unknown	unknown	unknown	0	-1	-1	unknown	0	unknown	unknown	-1	0	0	-1	-1
a1023017-391b-44ff-a7f4-ca647b77ec64	unknown	0	unknown	0	0	1	0	unknown	0	unknown	0	unknown	-1	0	-1	1	0	unknown	0	unknown	unknown	1	0	0	-1	unknown	0	unknown	0	-1	unknown	0	0	unknown	unknown	0	0	0	unknown
23f50639-1cd7-4f01-9665-39435b832673	0	1	0	0	0	1	0	unknown	1	0	unknown	0	0	0	-1	1	0	0	unknown	unknown	unknown	unknown	1	1	0	1	unknown	0	0	-1	unknown	0	unknown	unknown	unknown	1	1	0	unknown
32fa2867-9632-4340-ad22-31bc2ac9b4c5	unknown	0	unknown	0	0	1	0	-1	0	unknown	0	unknown	unknown	0	-1	unknown	unknown	unknown	unknown	0	unknown	1	unknown	unknown	-1	0	unknown	0	unknown	0	-1	1	unknown	unknown	0	0	0	0	-1
8cdb7434-d7b4-42f4-ae3b-17cd7aff87c0	0	1	1	unknown	unknown	1	unknown	-1	0	0	1	1	unknown	0	1	1	-1	-1	-1	unknown	0	unknown	0	0	1	1	-1	0	-1	-1	unknown	-1	-1	unknown	unknown	1	1	-1	-1
453165db-6362-467a-85ff-01167e292533	1	0	0	0	0	1	0	0	0	1	0	0	0	1	-1	1	unknown	-1	unknown	unknown	-1	unknown	0	0	-1	1	0	0	0	0	unknown	1	0	unknown	unknown	0	0	1	unknown
ff365443-a62e-47d4-95b2-4d12ab12c850	unknown	1	0	0	0	1	unknown	unknown	0	unknown	1	unknown	unknown	unknown	-1	1	1	1	1	unknown	0	1	1	unknown	-1	unknown	-1	0	0	-1	unknown	1	1	unknown	unknown	1	1	unknown	-1
